NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
10|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Agroindustrial|Productos de panadería y molinería|1101000000|Harina de trigo y de morcajo (tranquillón).|08|Atlántico|Si|0,0|22680,0|||Futuros|Agroalimentos
45|5|Antioquia|5001|Medellín|1410|Confección de prendas de vestir, excepto prendas de piel|Sistema Moda|Bienes tecnología baja|4872620000,0|3219216000,0|Pequeña|No|No es sucursal de sociedad extranjera|8,005475701574264|No Mineras|Sistema Moda|Textiles y confecciones|Jeans|6204620000|"Pantalones largos, pantalones con peto, pantalones cortos (calzones) y ""shorts"" de algodón, para mujeres o niñas, excepto los de punto."|05|Antioquia|Si|0,0|1214,672||-100,0|Futuros|Sistema Moda
56|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Textiles y confecciones|Ropa casual femenina|6104630000|"Pantalones largos, pantalones con peto, pantalones cortos (calzones) y ""shorts"" de punto, de fibras sintéticas, para mujeres o niñas"|76|Valle del Cauca|No|0,0|0,0|||Futuros|Sistema Moda
60|11|Bogotá, D.C.|11001|Bogotá, D.C.|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|3500499088,0|6133082432,0|Pequeña|No|No es sucursal de sociedad extranjera|9,902806297056811|No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de caucho|4016993000|Tapones de caucho vulcanizado sin endurecer.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
75|11|Bogotá, D.C.|11001|Bogotá, D.C.|5911|Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|72581228000,0|52742792000,0|Grande|No|No es sucursal de sociedad extranjera|27,89869952087611|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Telecomunicaciones y sonido|8525602000|Aparatos emisores con aparato receptor incorporado, de televisión.|76|Valle del Cauca|No|0,0|0,0|||Futuros|Industrias 4.0
137|11|Bogotá, D.C.|11001|Bogotá, D.C.|210|Silvicultura y otras actividades forestales|Agroalimentos|Bienes primarios|121035748000,0|13109575000,0|Mediana|No|No es sucursal de sociedad extranjera|9,653661875427789|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Madera (muebles y maderas)|4407299000|Las demás maderas tropicales de espesor superior a 6 mm|11|Bogotá, D.C.|No|0,0|104,54|||No Constante|Agroalimentos
143|5|Antioquia|5051|Arboletes|122|Cultivo de plátano y banano|Agroalimentos|Bienes primarios|12000000,0|2921753600,0|Pequeña|No|No es sucursal de sociedad extranjera|5,467488021902806|No Mineras|Agroalimentos|Banano|Plátano|0803101000|"Plátanos ""plantains"", frescos."|05|Antioquia|No|460437,6|134902,00400000002|115,08496984338292||No Constante|Agroalimentos
182|11|Bogotá, D.C.|11001|Bogotá, D.C.|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|23482366000,0|5035682000,0|Mediana|No|No es sucursal de sociedad extranjera|50,6611909650924|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Aparatos eléctricos|8504401000|Unidades de alimentación estabilizada (ups).|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
183|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Agroalimentos
206|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Transporte de pasajeros|8702909090|Los demás vehículos automóviles para el transporte colectivo de personas.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
225|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
248|11|Bogotá, D.C.|11001|Bogotá, D.C.|1410|Confección de prendas de vestir, excepto prendas de piel|Sistema Moda|Bienes tecnología baja|15000000,0|1039,0|Micro|No|No es sucursal de sociedad extranjera|1,8672142368240927|No Mineras|Sistema Moda|Textiles y confecciones|Jeans|6204620000|"Pantalones largos, pantalones con peto, pantalones cortos (calzones) y ""shorts"" de algodón, para mujeres o niñas, excepto los de punto."|11|Bogotá, D.C.|Si|20566,0|6474,462|74,19498556280497||No Constante|Sistema Moda
268|13|Bolívar|13001|Cartagena De Indias|4762|Comercio al por menor de artículos deportivos, en establecimientos especializados|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|1913305910,0|2909034934,0|Pequeña|No|No es sucursal de sociedad extranjera|4,553045859000685|No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Barcos y sus partes|8903999000|Los demás yates, embarcaciones de recreo o de deporte, barcas de remos y canoas.|13|Bolívar|No|0,0|12000,0|-100,0||No Constante|Metalmecánica y Otras Industrias
270|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Automóviles de turismo y uso familiar|8703241090|Camperos (4 x 4), para el transporte de personas, con motor de émbolo (pistón) alternativo, de encendido por chispa, de cilindrada superior a 3.000 cm3.|11|Bogotá, D.C.|No|0,0|2566,0||-100,0|Futuros|Metalmecánica y Otras Industrias
279|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Acuícola y pesquero|Pescados y subproductos de pescado secos, salados, ahumados|0305720000|Cabezas, colas y vejigas natatorias de pescado, secos, salados o en salmuera, ahumados.|76|Valle del Cauca|No|0,0|0,0|||Futuros|Agroalimentos
280|11|Bogotá, D.C.|11001|Bogotá, D.C.|8220|Actividades de centros de llamadas (call center)|Industrias 4.0|Servicios menos intensivos en conocimiento|36767955000,0|118808046000,0|Grande|No|No es sucursal de sociedad extranjera|13,579739904175222|No Mineras|Industrias 4.0|Bpo|Bpo|Bpo|Bpo|11|Bogotá, D.C.|Si|5000,0|17666,197999999997|-93,99983127525546||No Constante|Industrias 4.0
289|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
298|11|Bogotá, D.C.|11001|Bogotá, D.C.|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|39986739312,0|16300560952,0|Pequeña|No|No es sucursal de sociedad extranjera|10,472279260780288|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8429110000|"Topadoras frontales (""bulldozers""), y topadoras angulares (""angledozers"") de orugas, autopropulsadas."|11|Bogotá, D.C.|No|0,0|42056,426||-100,0|Futuros|Metalmecánica y Otras Industrias
337|68|Santander|68001|Bucaramanga|2421|Industrias básicas de metales preciosos|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|318614000,0|325495000,0|Micro|No|No es sucursal de sociedad extranjera|10,89390828199863|No Mineras|Sistema Moda|Joyería y bisutería|Orfebrería|7113110000|Artículos de joyeria y sus partes de plata, incluso revestida o chapada de otro metal precioso (plaque).|13|Bolívar|No|0,0|0,0|||Futuros|Sistema Moda
351|68|Santander|68081|Barrancabermeja|2023|Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|594266444,0|2607000257,0|Pequeña|No|No es sucursal de sociedad extranjera|9,149897330595484|Mineras|Mineras|Petróleo y sus derivados|Petróleo y sus derivados|2712109000|Las demás vaselinas en bruto.|68|Santander|Si|0,0|0,0|||Mineras, chatarra, otros|Químicos y Ciencias de la Vida
353|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Aeronaves y sus partes|8407100000|Motores  de émbolo (pistón) alternativo o rotativo, de encendido por chispa (de explosión), para la aviación.|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
355|8|Atlántico|8001|Barranquilla|1811|Actividades de impresión|Químicos y Ciencias de la Vida|Bienes tecnología baja|62141298000,0|87914931000,0|Grande|No|No es sucursal de sociedad extranjera|25,232032854209447|No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de papel y cartón|4819400000|Los demás sacos (bolsas); bolsitas y cucuruchos, de papel, cartón, guata de celulosa o napas de fibras de celulosa.|08|Atlántico|Si|13131086,07|5270005,68|34,57301335756971|323,6478482532896|Top|Químicos y Ciencias de la Vida
356|11|Bogotá, D.C.|11001|Bogotá, D.C.|4530|Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|56118330,0|0,0|Micro|No|No es sucursal de sociedad extranjera|16,744695414099933|No Mineras|Metalmecánica y Otras Industrias|Autopartes|Partes y accesorios de vehículos|8708302900|Las demás partes frenos y servofrenos, de vehículos automóviles de las partidas 87.01 a 87.05.|11|Bogotá, D.C.|Si|10516,5|2103,3|||Futuros|Metalmecánica y Otras Industrias
400|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Flores y plantas vivas|Flores frescas|0603199000|Las demás flores y capullos frescos, cortados para ramos o adornos.|05|Antioquia|Si|0,0|0,0|||Futuros|Agroalimentos
416|11|Bogotá, D.C.|11001|Bogotá, D.C.|2821|Fabricación de maquinaria agropecuaria y forestal|Metalmecánica y Otras Industrias|Bienes tecnología media-alta||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria agrícola|8436291000|Comederos y bebederos automáticos, para la avicultura.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
429|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Textiles y confecciones|Accesorios (moda)|6212900000|Tirantes (tiradores), ligas y artículos similares y sus partes, incluso de punto.|05|Antioquia|Si|0,0|6910,652||-100,0|Futuros|Sistema Moda
446|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Químicos y Ciencias de la Vida|Plástico y caucho|Plástico y sus manufacturas|3926909090|Las demás manufacturas de plástico y manufacturas de las demás materias de las partidas 39.01 a 39.14.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
452|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Café|Café verde|0901119000|Los demás cafés sin tostar, sin descafeinar.|05|Antioquia|No|0,0|287,84000000000003|-100,0||No Constante|Agroalimentos
466|11|Bogotá, D.C.|11001|Bogotá, D.C.|2824|Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción|Metalmecánica y Otras Industrias|Bienes tecnología media-alta|14535616991,0|11987290455,0|Mediana|No|No es sucursal de sociedad extranjera|19,69062286105408|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8479100000|Máquinas y aparatos mecánicos, para obras públicas, construcción o trabajos análogos, no expresados ni comprendidos en otra parte de este capítulo.|11|Bogotá, D.C.|Si|672084,92|497950,442|42,23637765657422|30,80242349872056|Pymex|Metalmecánica y Otras Industrias
469|11|Bogotá, D.C.|11001|Bogotá, D.C.|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|9882197137,0|13364643319,0|Mediana|No|No es sucursal de sociedad extranjera|21,571526351813823|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8477800000|Las demás máquinas y aparatos para trabajar caucho o plásticos o para fabricar productos de estas materias, no expresados ni comprendidos en otra parte de este capítulo.|76|Valle del Cauca|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
473|11|Bogotá, D.C.|11001|Bogotá, D.C.|7112|Actividades de ingeniería y otras actividades conexas de consultoría técnica|Metalmecánica y Otras Industrias|Servicios de mercado intensivos en conocimiento|1239873718,0|1301662661,0|Pequeña|No|No es sucursal de sociedad extranjera|25,70294318959617|No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Vidrio (materiales de construcción)|7019390000|Napas, colchones, paneles y productos similares de fibra de vidrio, sin tejer.|11|Bogotá, D.C.|Si|0,0|403,136|||No Constante|Metalmecánica y Otras Industrias
478|52|Nariño|52001|Pasto|9004|Creación audiovisual|Industrias 4.0|Otros servicios intensivos en conocimiento|38724074,0|25139000,0|Micro|No|No es sucursal de sociedad extranjera|4,42984257357974|No Mineras|Industrias 4.0|Producción audiovisual|Producción audiovisual|Producción audiovisual|Producción audiovisual|52|Nariño|No|0,0|345,4|-100,0||No Constante|Industrias 4.0
488|11|Bogotá, D.C.|11001|Bogotá, D.C.|7112|Actividades de ingeniería y otras actividades conexas de consultoría técnica|Metalmecánica y Otras Industrias|Servicios de mercado intensivos en conocimiento|20000000,0|55000000,0|Micro|No|No es sucursal de sociedad extranjera|15,641341546885696|No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Plástico y caucho (materiales de construcción)|3917211000|Tubos rigidos de polímeros de etileno, para sistemas de riego por goteo, por aspersión u otros.|76|Valle del Cauca|Si|0,0|2042,874|-100,0||No Constante|Metalmecánica y Otras Industrias
493|11|Bogotá, D.C.|11001|Bogotá, D.C.|4645|Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|167653302000,0|210548054000,0|Grande|No|No es sucursal de sociedad extranjera|50,70225872689939|No Mineras|Químicos y Ciencias de la Vida|Dotación Hospitalaria|Instrumentos, aparatos y prótesis|9018909000|Los demás instrumentos y aparatos de medicina y cirugía, odontología, o veterinaria no incluidos antes|11|Bogotá, D.C.|Si|499297,21|718734,226|30,823018681123138|1,2238944566828946|Pymex|Químicos y Ciencias de la Vida
502|8|Atlántico|8296|Galapa|3110|Fabricación de muebles|Metalmecánica y Otras Industrias|Bienes tecnología baja|4851930773,0|8967070203,0|No determinado|No|No es sucursal de sociedad extranjera|10,34360027378508|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Muebles - oficina|9401610000|Los demás asientos con armazón de madera, con relleno, (excepto los de la partida 94.02).|08|Atlántico|Si|9856,25|22042,688|-89,191525563872||No Constante|Metalmecánica y Otras Industrias
508|11|Bogotá, D.C.|11001|Bogotá, D.C.|1392|Confección de artículos con materiales textiles, excepto prendas de vestir|Sistema Moda|Bienes tecnología baja|8783877487,0|10893822279,0|Mediana|No|No es sucursal de sociedad extranjera|19,46611909650924|No Mineras|Sistema Moda|Textiles y confecciones|Otras confecciones|6307904000|Eslingas de carga, incluso con accesorios de metal común.|11|Bogotá, D.C.|Si|84446,0|22686,99|784,4411627626872||No Constante|Sistema Moda
512|11|Bogotá, D.C.|11001|Bogotá, D.C.|4641|Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico|Sistema Moda|Servicios menos intensivos en conocimiento|8750111,0|48030398,0|Micro|No|No es sucursal de sociedad extranjera|18,21218343600274|No Mineras|Sistema Moda|Textiles y confecciones|Ropa formal femenina|6204330000|Chaquetas (sacos) de fibras sintéticas, para mujeres o niñas, excepto los de punto.|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Sistema Moda
519|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Calzado|Calzado|6404190000|Los demás calzados, con suela de caucho, plástico o cuero natural, artificial o regenerado y parte superior (corte) de materia textil.|68|Santander|Si|0,0|106014,156||-100,0|No Constante|Sistema Moda
537|11|Bogotá, D.C.|11001|Bogotá, D.C.|4631|Comercio al por mayor de productos alimenticios|Agroalimentos|Servicios menos intensivos en conocimiento|432117000,0|594795000,0|Micro|No|No es sucursal de sociedad extranjera|4,818617385352498|No Mineras|Sistema Moda|Textiles y confecciones|Fajas y ropa de control|6212200000|Fajas y fajas-braga (fajas bombacha), incluso de punto.|76|Valle del Cauca|No|0,0|970,002|||Futuros|Sistema Moda
545|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8430410000|Las demás máquinas de sondeo o de perforación, autopropulsadas.|68|Santander|No|0,0|2000,0|||Futuros|Metalmecánica y Otras Industrias
559|11|Bogotá, D.C.|11001|Bogotá, D.C.|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|11570101000,0|15881388000,0|Pequeña|No|No es sucursal de sociedad extranjera|28,56399726214921|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8414802100|Los demás compresores  de potencia inferior a 30 kw (40 hp), para vehículos automóviles.|52|Nariño|Si|0,0|525,292|||Futuros|Metalmecánica y Otras Industrias
567|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Aeronaves y sus partes|8802110000|Helicópteros de peso en  vacío, inferior o igual a 2000 kg|11|Bogotá, D.C.|No|0,0|5000,0|||Futuros|Metalmecánica y Otras Industrias
569|5|Antioquia|5001|Medellín|1410|Confección de prendas de vestir, excepto prendas de piel|Sistema Moda|Bienes tecnología baja|10813406000,0|9199192000,0|Mediana|No|No es sucursal de sociedad extranjera|43,97535934291581|No Mineras|Sistema Moda|Textiles y confecciones|Jeans|6109100000|"""T-shirts"" y camisetas interiores de punto, de algodón."|05|Antioquia|Si|380875,71|266518,69|303,3219049740948|34,6775586969527|Pymex|Sistema Moda
585|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|10,0||-100,0|Futuros|Agroalimentos
594|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Aparatos eléctricos|8504319000|Los demás transformadores eléctricos de potencia inferior o igual a 1 kva..|05|Antioquia|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
651|17|Caldas|17001|Manizales|2599|Fabricación de otros productos elaborados de metal n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|20674392000,0|30237394000,0|Mediana|No|No es sucursal de sociedad extranjera|30,22861054072553|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8418999090|Las demas partes de refrigeradores, congeladores y demas material, aunque no sean eléctricos; bombas de calor, exepto las maquinas y aparatos para acondicionamiento de aire de la partida 84.15|17|Caldas|Si|385947,79|77189,55799999999|||Futuros|Metalmecánica y Otras Industrias
705|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
717|11|Bogotá, D.C.|11001|Bogotá, D.C.|1811|Actividades de impresión|Químicos y Ciencias de la Vida|Bienes tecnología baja|2057904000,0|1430203000,0|Pequeña|No|No es sucursal de sociedad extranjera|39,65503080082136|No Mineras|Metalmecánica y Otras Industrias|Papel y cartón|Otros papeles y cartones|4821100000|Etiquetas de todas clases impresas, de papel o cartón.|11|Bogotá, D.C.|Si|14165,53|11832,554|36,794710351780544|11,197967996976963|Pymex|Químicos y Ciencias de la Vida
802|76|Valle del Cauca|76001|Santiago De Cali|6201|Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|2893464886,0|7961914751,0|Mediana|No|No es sucursal de sociedad extranjera|12,577686516084873|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Medición|9028100090|Los demás contadores de gas.|76|Valle del Cauca|Si|0,0|1832,6|||Futuros|Industrias 4.0
803|5|Antioquia|5360|Itagüí|1392|Confección de artículos con materiales textiles, excepto prendas de vestir|Sistema Moda|Bienes tecnología baja|505833561000,0|104870040000,0|Grande|No|No es sucursal de sociedad extranjera|22,55167693360712|No Mineras|Sistema Moda|Textiles y confecciones|Telas y tejidos|5407200000|Tejidos de hilados de filamentos sintéticos fabricados con tiras o formas similares.|05|Antioquia|Si|16619760,71|15291293,613999998|-8,709482153316038|2,776386146509635|Top|Sistema Moda
854|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Agroalimentos
901|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de papel y cartón|4819100000|Cajas de papel o cartón corrugados.|54|Norte de Santander|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
924|08|Atlántico|08001|Barranquilla|2219|Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Plástico y caucho (materiales de construcción)|4009310000|Tubos de caucho vulcanizado sin endurecer, reforzados o combinados de otro modo solamente con materia textil, sin accesorios.|11|Bogotá, D.C.|Si|0,0|6675,6||-100,0|No Constante|Químicos y Ciencias de la Vida
925|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Automóviles de turismo y uso familiar|8703239090|Los demás vehículos para el transporte de personas, con motor de émbolo (pistón) alternativo, de encendido por chispa, de cilindrada superior a 1.500 cm3 pero inferior o igual a 3.000 cm3.|11|Bogotá, D.C.|No|0,0|3549,91|||No Constante|Metalmecánica y Otras Industrias
933|25|Cundinamarca|25817|Tocancipá|7730|Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|63767100000,0|28192881000,0|Grande|No|No es sucursal de sociedad extranjera|10,97056810403833|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Manufacturas de hierro o acero|7308400000|Material de andamiaje, encofrado, apeo o apuntalamiento.|11|Bogotá, D.C.|Si|431259,68|579720,0319999999|-43,38738324295493|60,980169344236046|Pymex|Metalmecánica y Otras Industrias
950|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Agroalimentos
967|11|Bogotá, D.C.|11001|Bogotá, D.C.|9004|Creación audiovisual|Industrias 4.0|Otros servicios intensivos en conocimiento|91210966,0|165697428,0|Micro|No|No es sucursal de sociedad extranjera|10,55167693360712|No Mineras|Industrias 4.0|Producción audiovisual|Producción audiovisual|Producción audiovisual|Producción audiovisual|11|Bogotá, D.C.|Si|3000,0|600,0|||Futuros|Industrias 4.0
1143|5|Antioquia|5360|Itagüí|2023|Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|24790406000,0|35570563000,0|Mediana|No|No es sucursal de sociedad extranjera|5,544147843942505|No Mineras|Químicos y Ciencias de la Vida|Cosméticos y productos de aseo|Otros productos de aseo|3401191000|Jabones y  preparaciones orgánicos tensoactivos, en barras, panes o trozos, o en piezas troqueladas o moldeadas.|05|Antioquia|Si|1514841,4700000002|954323,916|82,60281689801292|33,151054342187216|Pymex|Químicos y Ciencias de la Vida
1162|11|Bogotá, D.C.|11001|Bogotá, D.C.|1630|Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción|Metalmecánica y Otras Industrias|Bienes tecnología baja|707909935,0|1870740000,0|Pequeña|No|No es sucursal de sociedad extranjera|5,793292265571527|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Muebles - oficina|9403600000|Los demás muebles de madera.|11|Bogotá, D.C.|Si|0,0|4080,202|-100,0||No Constante|Metalmecánica y Otras Industrias
1168|66|Risaralda|66001|Pereira|1061|Trilla de café|Agroalimentos|Bienes tecnología baja|15466000,0|43430000,0|Micro|No|No es sucursal de sociedad extranjera|1,8507871321013003|No Mineras|Agroalimentos|Derivados del café|Derivados de café|0901211000|Café tostado, sin descafeinar, en grano.|63|Quindío|Si|1770,0|354,0|||Futuros|Agroalimentos
1187|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8477599000|Las demás máquinas y aparatos para  moldear  o formar  caucho  o plástico.|76|Valle del Cauca|Si|0,0|720,0|-100,0||No Constante|Metalmecánica y Otras Industrias
1192|11|Bogotá, D.C.|11001|Bogotá, D.C.|2221|Fabricación de formas básicas de plástico|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|1303214634,0|309116213,0|Micro|No|No es sucursal de sociedad extranjera|9,7056810403833|No Mineras|Metalmecánica y Otras Industrias|Artículos de hogar oficina hoteles e industrial|Otros artículos impresos|4911100000|Impresos publicitarios, catalogos comerciales y similares.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
